Anio;Mes;GasolinaSuper;GasolinaRegular;Diesel;Fechas;Super_Arima;Regular_Arima;Diesel_Arima;Super_SARIMAX;Regular_SARIMAX;Diesel_SARIMAX;Super_EXP;Regular_EXP;Diesel_EXP
2011;1;391997.54;253700.82;1033948.69;1/01/2011;391997.54;253700.82;1033948.69;391997.54;253700.82;1033948.69;391997.54;253700.82;1033948.69
2011;2;437769.48;343582.85;772775.579999999;1/02/2011;437769.48;343582.85;772775.579999999;437769.479999999;343582.85;772775.579999999;437769.479999999;343582.85;772775.579999999
2011;3;445920.27;291087.16;707536.31;1/03/2011;445920.27;291087.16;707536.31;445920.269999999;291087.159999999;707536.31;445920.269999999;291087.159999999;707536.31
2011;4;357349.67;326003.71;767445.36;1/04/2011;357349.67;326003.71;767445.36;357349.669999999;326003.709999999;767445.36;357349.669999999;326003.709999999;767445.36
2011;5;433038.13;326566.61;918940.44;1/05/2011;433038.13;326566.61;918940.44;433038.129999999;326566.609999999;918940.44;433038.129999999;326566.609999999;918940.44
2011;6;354604.94;230990.13;553883.42;1/06/2011;354604.94;230990.13;553883.42;354604.939999999;230990.13;553883.42;354604.939999999;230990.13;553883.42
2011;7;369694.76;188581.4;734958.539999999;1/07/2011;369694.76;188581.4;734958.539999999;369694.76;188581.4;734958.539999999;369694.76;188581.4;734958.539999999
2011;8;270765.31;201844.49;1014324.28;1/08/2011;270765.31;201844.49;1014324.28;270765.309999999;201844.489999999;1014324.28;270765.309999999;201844.489999999;1014324.28
2011;9;335803.82;260669.22;795554.710000001;1/09/2011;335803.82;260669.22;795554.710000001;335803.82;260669.22;795554.71;335803.82;260669.22;795554.71
2011;10;351555.66;239711.91;612133.26;1/10/2011;351555.66;239711.91;612133.26;351555.659999999;239711.909999999;612133.259999999;351555.659999999;239711.909999999;612133.259999999
2011;11;450212.8;237803.48;575406.48;1/11/2011;450212.8;237803.48;575406.48;450212.799999999;237803.48;575406.48;450212.799999999;237803.48;575406.48
2011;12;534925.36;367820.54;732921.03;1/12/2011;534925.36;367820.54;732921.03;534925.359999999;367820.54;732921.029999999;534925.359999999;367820.54;732921.029999999
2012;1;434648.17;318283.44;790123.23;1/01/2012;434648.17;318283.44;790123.23;434648.17;318283.439999999;790123.23;434648.17;318283.439999999;790123.23
2012;2;372893.49;253583.96;887963.98;1/02/2012;372893.49;253583.96;887963.98;372893.489999999;253583.959999999;887963.98;372893.489999999;253583.959999999;887963.98
2012;3;354160.85;255492.16;978693.29;1/03/2012;354160.85;255492.16;978693.29;354160.849999999;255492.159999999;978693.29;354160.849999999;255492.159999999;978693.29
2012;4;399701.69;189948.79;697871.28;1/04/2012;399701.69;189948.79;697871.28;399701.69;189948.79;697871.279999999;399701.69;189948.79;697871.279999999
2012;5;380531.85;241786.29;833370.09;1/05/2012;380531.85;241786.29;833370.09;380531.85;241786.289999999;833370.09;380531.85;241786.289999999;833370.09
2012;6;550379.33;320566.69;767124.649999999;1/06/2012;550379.33;320566.69;767124.649999999;550379.329999999;320566.689999999;767124.649999999;550379.329999999;320566.689999999;767124.649999999
2012;7;271509.2;142232.47;1021995.9;1/07/2012;271509.2;142232.47;1021995.9;271509.2;142232.47;1021995.89999999;271509.2;142232.47;1021995.89999999
2012;8;361307.2;263677.23;626706.23;1/08/2012;361307.2;263677.23;626706.23;361307.2;263677.23;626706.229999999;361307.2;263677.23;626706.229999999
2012;9;372989.29;201347.56;619651.27;1/09/2012;372989.29;201347.56;619651.27;372989.289999999;201347.56;619651.269999999;372989.289999999;201347.56;619651.269999999
2012;10;600094.03;374301.51;463054.77;1/10/2012;600094.03;374301.51;463054.77;600094.029999999;374301.509999999;463054.77;600094.029999999;374301.509999999;463054.77
2012;11;359818.54;197398.8;538552.89;1/11/2012;359818.54;197398.8;538552.89;359818.539999999;197398.8;538552.89;359818.539999999;197398.8;538552.89
2012;12;419029.17;287980.58;1324780.96;1/12/2012;419029.17;287980.58;1324780.96;419029.17;287980.58;1324780.95999999;419029.17;287980.58;1324780.95999999
2013;1;433924.69;396416.84;749266.68;1/01/2013;433924.69;396416.84;749266.68;433924.69;396416.84;749266.679999999;433924.69;396416.84;749266.679999999
2013;2;470483.98;235502.58;709843.02;1/02/2013;470483.98;235502.58;709843.02;470483.979999999;235502.579999999;709843.019999999;470483.979999999;235502.579999999;709843.019999999
2013;3;429974.17;439386.62;832627.570000001;1/03/2013;429974.17;439386.62;832627.570000001;429974.17;439386.619999999;832627.57;429974.17;439386.619999999;832627.57
2013;4;430259.18;274680.65;860094.78;1/04/2013;430259.18;274680.65;860094.78;430259.179999999;274680.649999999;860094.779999999;430259.179999999;274680.649999999;860094.779999999
2013;5;532379.66;281823.2;1202187.85;1/05/2013;532379.66;281823.2;1202187.85;532379.66;281823.199999999;1202187.85;532379.66;281823.199999999;1202187.85
2013;6;284038.03;293808.6;729711.88;1/06/2013;284038.03;293808.6;729711.88;284038.03;293808.6;729711.879999999;284038.03;293808.6;729711.879999999
2013;7;486075.06;259025.83;693160.5;1/07/2013;486075.06;259025.83;693160.5;486075.059999999;259025.829999999;693160.5;486075.059999999;259025.829999999;693160.5
2013;8;347066.11;221433.2;505133.44;1/08/2013;347066.11;221433.2;505133.44;347066.11;221433.199999999;505133.439999999;347066.11;221433.199999999;505133.439999999
2013;9;373303.31;300794.99;803626.98;1/09/2013;373303.31;300794.99;803626.98;373303.309999999;300794.99;803626.98;373303.309999999;300794.99;803626.98
2013;10;372946.33;281168.85;980327.979999999;1/10/2013;372946.33;281168.85;980327.979999999;372946.33;281168.849999999;980327.979999999;372946.33;281168.849999999;980327.979999999
2013;11;496029.72;390941.15;903218.470000001;1/11/2013;496029.72;390941.15;903218.470000001;496029.719999999;390941.149999999;903218.47;496029.719999999;390941.149999999;903218.47
2013;12;358799.64;210096.78;791698.89;1/12/2013;358799.64;210096.78;791698.89;358799.64;210096.779999999;791698.89;358799.64;210096.779999999;791698.89
2014;1;457365.46;487880.79;1595698.56;1/01/2014;457365.46;487880.79;1595698.56;457365.459999999;487880.79;1595698.56;457365.459999999;487880.79;1595698.56
2014;2;455726.06;312423.86;688703.18;1/02/2014;455726.06;312423.86;688703.18;455726.059999999;312423.86;688703.179999999;455726.059999999;312423.86;688703.179999999
2014;3;582572.93;472437.63;1147182.5;1/03/2014;582572.93;472437.63;1147182.5;582572.929999999;472437.629999999;1147182.49999999;582572.929999999;472437.629999999;1147182.49999999
